update_id,project_id,report_date,planned_pct_complete,actual_pct_complete,estimated_cost_to_complete,forecast_completion_date,primary_delay_reason,submitted_by
UPD00282,P037,2024-04-21,12.2,8.1,957463.67,2024-11-24,Subcontractor availability,Olivia Bennett
UPD00283,P037,2024-05-19,24.3,18.4,869008.24,2024-11-27,Unforeseen site condition,Olivia Bennett
UPD00284,P037,2024-06-16,36.5,30,798182.73,2024-12-01,Material lead time,Olivia Bennett
UPD00285,P037,2024-07-14,48.7,42.5,699811.6,2024-12-04,Material lead time,Olivia Bennett
UPD00286,P037,2024-08-11,60.9,52.5,583016.28,2024-12-07,Unforeseen site condition,Olivia Bennett
UPD00287,P037,2024-09-08,73,63.3,513793.26,2024-12-11,Subcontractor availability,Olivia Bennett
UPD00288,P037,2024-10-06,85.2,70.1,349097.86,2024-12-14,Subcontractor availability,Olivia Bennett
UPD00289,P037,2024-11-03,97.4,79.9,242256.58,2024-12-18,Subcontractor availability,Olivia Bennett
UPD00290,P037,2024-12-01,100,91.2,82598.92,2024-12-21,Material lead time,Olivia Bennett
UPD00291,P037,2024-12-24,100,100,0,2024-12-24,Subcontractor availability,Olivia Bennett
UPD00292,P038,2023-10-16,13.2,8.6,596064.75,2024-05-04,Labor availability,Daniel Kim
UPD00293,P038,2023-11-13,26.4,18.8,498454.7,2024-05-08,Labor availability,Daniel Kim
UPD00294,P038,2023-12-11,39.6,32.8,435267.37,2024-05-12,Labor availability,Daniel Kim
UPD00295,P038,2024-01-08,52.8,42.9,373506.7,2024-05-16,Labor availability,Daniel Kim
UPD00296,P038,2024-02-05,66,52,283715.68,2024-05-20,Labor availability,Daniel Kim
UPD00297,P038,2024-03-04,79.2,64.4,227750.58,2024-05-24,Labor availability,Daniel Kim
UPD00298,P038,2024-04-01,92.5,75,143218.37,2024-05-28,Labor availability,Daniel Kim
UPD00299,P038,2024-04-29,100,84.1,109543.52,2024-06-01,Labor availability,Daniel Kim
UPD00300,P038,2024-05-27,100,94.3,6480.69,2024-06-05,Labor availability,Daniel Kim
UPD00301,P038,2024-06-07,100,100,0,2024-06-07,Labor availability,Daniel Kim
UPD00302,P039,2023-05-18,15.4,16.6,509826.86,2023-10-19,None,Elena Martinez
UPD00303,P039,2023-06-15,30.8,33,397134.25,2023-10-19,None,Elena Martinez
UPD00304,P039,2023-07-13,46.2,44.3,305490.63,2023-10-19,None,Elena Martinez
UPD00305,P039,2023-08-10,61.5,60.9,257095.14,2023-10-19,None,Elena Martinez
UPD00306,P039,2023-09-07,76.9,74.8,133796.31,2023-10-19,None,Elena Martinez
UPD00307,P039,2023-10-05,92.3,94.6,37478.3,2023-10-19,None,Elena Martinez
UPD00308,P039,2023-10-19,100,100,0,2023-10-19,None,Elena Martinez
UPD00309,P040,2024-03-20,13.1,10.5,892183.94,2024-09-24,Labor availability,Priya Shah
UPD00310,P040,2024-04-17,26.2,25,816546.3,2024-09-25,Labor availability,Priya Shah
UPD00311,P040,2024-05-15,39.3,40,644540.93,2024-09-26,Labor availability,Priya Shah
UPD00312,P040,2024-06-12,52.3,50.9,501240.69,2024-09-26,Labor availability,Priya Shah
UPD00313,P040,2024-07-10,65.4,105,423156.38,2024-09-27,Labor availability,Priya Shah
UPD00314,P040,2024-08-07,78.5,77.2,316477.68,2024-09-28,Labor availability,Priya Shah
UPD00315,P040,2024-09-04,91.6,90,114612.62,2024-09-28,Labor availability,Priya Shah
UPD00316,P040,2024-09-29,100,100,0,2024-09-29,Labor availability,Priya Shah
UPD00317,P041,2024-07-09,16.4,15.6,1431929.69,2024-12-10,Inspection / approval delay,Olivia Bennett
UPD00318,P041,2024-08-06,32.7,29.6,1209636.27,2024-12-14,Inspection / approval delay,Olivia Bennett
UPD00319,P041,2024-09-03,49.1,39.5,937148.31,2024-12-17,Inspection / approval delay,Olivia Bennett
UPD00320,P041,2024-10-01,65.5,52.8,664159.52,2024-12-20,Inspection / approval delay,Olivia Bennett
UPD00321,P041,2024-10-29,81.9,68,497810.37,2024-12-24,Inspection / approval delay,Olivia Bennett
UPD00322,P041,2024-11-26,98.2,82.5,211747.98,2024-12-27,Inspection / approval delay,Olivia Bennett
UPD00323,P041,2024-12-24,100,97.1,62109.32,2024-12-30,Inspection / approval delay,Olivia Bennett
UPD00324,P041,2024-12-31,100,100,0,2024-12-31,Inspection / approval delay,Olivia Bennett
UPD00325,P042,2024-09-30,22.8,18.5,1950553.6,2025-01-12,Unforeseen site condition,Daniel Kim
UPD00326,P042,2024-10-28,45.5,40.2,1466832.98,2025-01-16,Material lead time,Daniel Kim
UPD00327,P042,2024-11-25,68.3,56.3,885689.04,2025-01-19,Material lead time,Daniel Kim
UPD00328,P042,2024-12-23,91.1,76.5,490860.27,2025-01-23,Unforeseen site condition,Daniel Kim
UPD00329,P042,2025-01-20,100,94,99637.62,2025-01-26,Material lead time,Daniel Kim
UPD00330,P042,2025-01-27,100,100,0,2025-01-27,Material lead time,Daniel Kim
UPD00331,P043,2024-03-26,18.3,19.3,756538.37,2024-08-01,Owner decision / change order,Priya Shah
UPD00332,P043,2024-04-23,36.6,32.5,625611.89,2024-08-02,Owner decision / change order,Priya Shah
UPD00333,P043,2024-05-21,54.9,50.3,470290.19,2024-08-03,Subcontractor availability,Priya Shah
UPD00334,P043,2024-06-18,73.2,71.4,281650.82,2024-08-04,Owner decision / change order,Priya Shah
UPD00335,P043,2024-07-16,91.5,89.4,94155.42,2024-08-05,Subcontractor availability,Priya Shah
UPD00336,P043,2024-08-06,100,100,0,2024-08-06,Owner decision / change order,Priya Shah
UPD00337,P044,2024-05-11,23,19.1,393741.73,2024-08-26,Labor availability,Elena Martinez
UPD00338,P044,2024-06-08,45.9,34.9,320275.12,2024-08-31,Labor availability,Elena Martinez
UPD00339,P044,2024-07-06,68.9,52.1,186599.19,2024-09-04,Labor availability,Elena Martinez
UPD00340,P044,2024-08-03,91.8,70.1,123745.67,2024-09-09,Labor availability,Elena Martinez
UPD00341,P044,2024-08-31,100,88.4,47142.1,2024-09-13,Labor availability,Elena Martinez
UPD00342,P044,2024-09-16,100,100,0,2024-09-16,Labor availability,Elena Martinez
UPD00343,P045,2023-03-18,13,13.9,970409.56,2023-09-13,None,Elena Martinez
UPD00344,P045,2023-04-15,26,27.9,832194.02,2023-09-11,None,Elena Martinez
UPD00345,P045,2023-05-13,39.1,45.9,604418.93,2023-09-08,None,Elena Martinez
UPD00346,P045,2023-06-10,52.1,59.6,483613.78,2023-09-06,None,Elena Martinez
UPD00347,P045,2023-07-08,65.1,72.5,282417.99,2023-09-04,None,Elena Martinez
UPD00348,P045,2023-08-05,78.1,85.4,108674.93,2023-09-01,None,Elena Martinez
UPD00349,P045,2023-08-30,89.8,100,0,2023-08-30,None,Elena Martinez
UPD00350,P046,2023-10-05,11,9.1,1065816.89,2024-06-03,Labor availability,Elena Martinez
UPD00351,P046,2023-11-02,22,20,982787.3,2024-06-07,Labor availability,Elena Martinez
UPD00352,P046,2023-11-30,32.9,30.2,886004.09,2024-06-10,Labor availability,Elena Martinez
UPD00353,P046,2023-12-28,43.9,37.8,768688.68,2024-06-13,Labor availability,Elena Martinez
UPD00354,P046,2024-01-25,54.9,43.7,709466.01,2024-06-17,Labor availability,Elena Martinez
UPD00355,P046,2024-02-22,65.9,57.4,611510.44,2024-06-20,Labor availability,Elena Martinez
UPD00356,P046,2024-03-21,76.9,62.6,482133.94,2024-06-23,Labor availability,Elena Martinez
UPD00357,P046,2024-04-18,87.8,73.7,322940.87,2024-06-27,Labor availability,Elena Martinez
UPD00358,P046,2024-05-16,98.8,83.5,186977.28,2024-06-30,Labor availability,Elena Martinez
UPD00359,P046,2024-06-13,100,90.8,73265.8,2024-07-03,Labor availability,Elena Martinez
UPD00360,P046,2024-07-06,100,100,0,2024-07-06,Labor availability,Elena Martinez
UPD00361,P047,2023-09-01,15.3,11.5,1976349.75,2024-02-13,None,Elena Martinez
UPD00362,P047,2023-09-29,30.6,25.7,1646141.99,2024-02-16,Subcontractor availability,Elena Martinez
UPD00363,P047,2023-10-27,45.9,41.5,1430841.08,2024-02-18,None,Elena Martinez
UPD00364,P047,2023-11-24,61.2,52.4,1208600.94,2024-02-21,Unforeseen site condition,Elena Martinez
UPD00365,P047,2023-12-22,76.5,65.4,846350.69,2024-02-24,Subcontractor availability,Elena Martinez
UPD00366,P047,2024-01-19,91.8,78.2,507106.48,2024-02-27,Weather,Elena Martinez
UPD00367,P047,2024-02-16,100,93.6,196301.88,2024-03-01,Subcontractor availability,Elena Martinez
UPD00368,P047,2024-03-02,100,100,0,2024-03-02,Subcontractor availability,Elena Martinez
UPD00369,P048,2025-07-06,38.9,34.4,388843.55,2025-08-25,Labor availability,Elena Martinez
UPD00370,P048,2025-08-03,77.8,67.2,142207.1,2025-08-27,Labor availability,Elena Martinez
UPD00371,P048,2025-08-30,100,100,0,2025-08-30,Labor availability,Elena Martinez
UPD00372,P049,2023-11-06,19.2,12.2,994785.39,2024-03-20,Subcontractor availability,Marcus Reed
UPD00373,P049,2023-12-04,38.4,30.8,858810.75,2024-03-25,Unforeseen site condition,Marcus Reed
UPD00374,P049,2024-01-01,57.5,42.4,703074.8,2024-03-30,Weather,Marcus Reed
UPD00375,P049,2024-01-29,76.7,55.9,475276.28,2024-04-04,Unforeseen site condition,Marcus Reed
UPD00376,P049,2024-02-26,95.9,71.1,361976.98,2024-04-09,Subcontractor availability,Marcus Reed
UPD00377,P049,2024-03-25,100,88,120625.98,2024-04-14,Material lead time,Marcus Reed
UPD00378,P049,2024-04-19,100,100,0,2024-04-19,Material lead time,Marcus Reed
UPD00379,P050,2024-09-16,21.5,19.7,1013665.88,2025-01-04,Labor availability,Elena Martinez
UPD00380,P050,2024-10-14,43.1,35.7,834195.07,2025-01-07,Labor availability,Elena Martinez
UPD00381,P050,2024-11-11,64.6,54.2,661516.68,2025-01-09,Labor availability,Elena Martinez
UPD00382,P050,2024-12-09,86.2,72.2,297313.74,2025-01-12,Labor availability,Elena Martinez
UPD00383,P050,2025-01-06,100,92.7,84768.75,2025-01-15,Labor availability,Elena Martinez
UPD00384,P050,2025-01-16,100,100,0,2025-01-16,Labor availability,Elena Martinez
UPD00385,P051,2023-05-15,20.4,17.1,342020.41,2023-09-16,Labor availability,Marcus Reed
UPD00386,P051,2023-06-12,40.9,29.6,289421.85,2023-09-21,Labor availability,Marcus Reed
UPD00387,P051,2023-07-10,61.3,48.1,218685.52,2023-09-26,Labor availability,Marcus Reed
UPD00388,P051,2023-08-07,81.8,63.5,145592.35,2023-10-01,Labor availability,Marcus Reed
UPD00389,P051,2023-09-04,100,79.7,89687.44,2023-10-06,Labor availability,Marcus Reed
UPD00390,P051,2023-10-02,100,96.1,30462.98,2023-10-11,Labor availability,Marcus Reed
UPD00391,P051,2023-10-13,100,100,0,2023-10-13,Labor availability,Marcus Reed
UPD00392,P052,2023-11-19,24.8,19.2,1362765.34,2024-03-03,Labor availability,Marcus Reed
UPD00393,P052,2023-12-17,49.6,34.2,1161752.03,2024-03-10,Labor availability,Marcus Reed
UPD00394,P052,2024-01-14,74.3,51.8,875680.86,2024-03-17,Labor availability,Marcus Reed
UPD00395,P052,2024-02-11,99.1,66.4,687338.6,2024-03-24,Labor availability,Marcus Reed
UPD00396,P052,2024-03-10,100,81.7,280358.49,2024-03-30,Labor availability,Marcus Reed
UPD00397,P052,2024-04-06,100,100,0,2024-04-06,Labor availability,Marcus Reed
UPD00398,P053,2024-06-28,19.2,16.2,1288376.64,2024-10-26,Owner decision / change order,Marcus Reed
UPD00399,P053,2024-07-26,38.4,35.6,960220.9,2024-10-27,Unforeseen site condition,Marcus Reed
UPD00400,P053,2024-08-23,57.5,54.3,694243.55,2024-10-28,Subcontractor availability,Marcus Reed
UPD00401,P053,2024-09-20,76.7,75.5,427738.09,2024-10-29,Unforeseen site condition,Marcus Reed
UPD00402,P053,2024-10-18,95.9,93.8,99851.66,2024-10-30,Owner decision / change order,Marcus Reed
UPD00403,P053,2024-10-30,100,100,0,2024-10-30,Owner decision / change order,Marcus Reed
UPD00404,P054,2024-12-20,17.4,17.7,316797.69,2025-05-02,None,Elena Martinez
UPD00405,P054,2025-01-17,34.8,33.2,272469.86,2025-05-03,None,Elena Martinez
UPD00406,P054,2025-02-14,52.2,52.3,202561.36,2025-05-03,None,Elena Martinez
UPD00407,P054,2025-03-14,69.6,69.7,146790.18,2025-05-03,None,Elena Martinez
UPD00408,P054,2025-04-11,87,84.8,68080.64,2025-05-03,None,Elena Martinez
UPD00409,P054,2025-05-03,100,100,0,2025-05-03,None,Elena Martinez
UPD00410,P055,2023-06-06,18.7,16,1247976.23,2023-10-15,Labor availability,Daniel Kim
UPD00411,P055,2023-07-04,37.3,30.1,1061255.83,2023-10-18,Labor availability,Daniel Kim
UPD00412,P055,2023-08-01,56,49,735835.16,2023-10-21,Labor availability,Daniel Kim
UPD00413,P055,2023-08-29,74.7,63.1,462760.7,2023-10-24,Labor availability,Daniel Kim
UPD00414,P055,2023-09-26,93.3,79,216976.15,2023-10-27,Labor availability,Daniel Kim
UPD00415,P055,2023-10-24,100,97,19460.7,2023-10-30,Labor availability,Daniel Kim
UPD00416,P055,2023-10-31,100,100,0,2023-10-31,Labor availability,Daniel Kim
UPD00417,P056,2024-07-15,16.8,19.2,290638.94,2024-12-01,None,Priya Shah
UPD00418,P056,2024-08-12,33.5,36.1,225580.12,2024-11-30,None,Priya Shah
UPD00419,P056,2024-09-09,50.3,49.9,190936.01,2024-11-30,None,Priya Shah
UPD00420,P056,2024-10-07,67.1,69.5,145865.08,2024-11-30,None,Priya Shah
UPD00421,P056,2024-11-04,83.8,85.7,53195.97,2024-11-30,None,Priya Shah
UPD00422,P056,2024-11-30,99.4,100,0,2024-11-30,None,Priya Shah
UPD00423,P057,2025-08-05,15.7,12.4,722963.45,2026-01-14,Material lead time,Elena Martinez
UPD00424,P057,2025-09-02,31.5,28.6,612222.42,2026-01-18,None,Elena Martinez
UPD00425,P057,2025-09-30,47.2,38.1,454069.07,2026-01-21,Weather,Elena Martinez
UPD00426,P057,2025-10-28,62.9,51,365238.23,2026-01-25,Subcontractor availability,Elena Martinez
UPD00427,P057,2025-11-25,78.7,66.4,237141.33,2026-01-28,Material lead time,Elena Martinez
UPD00428,P057,2025-12-23,94.4,79.4,125284.1,2026-01-31,Subcontractor availability,Elena Martinez
UPD00429,P057,2026-01-20,100,89.9,22659.6,2026-02-04,Unforeseen site condition,Elena Martinez
UPD00430,P057,2026-02-06,100,100,0,2026-02-06,Material lead time,Elena Martinez
UPD00431,P058,2025-02-17,11.9,12.2,352782.48,2025-09-24,Unforeseen site condition,Olivia Bennett
UPD00432,P058,2025-03-17,23.8,20.9,301379.85,2025-09-27,Owner decision / change order,Olivia Bennett
UPD00433,P058,2025-04-14,35.7,30.9,269911.33,2025-09-30,Material lead time,Olivia Bennett
UPD00434,P058,2025-05-12,47.7,41.2,222605.25,2025-10-03,Unforeseen site condition,Olivia Bennett
UPD00435,P058,2025-06-09,59.6,52.7,182008.57,2025-10-06,Owner decision / change order,Olivia Bennett
UPD00436,P058,2025-07-07,71.5,63.7,145027.58,2025-10-09,Unforeseen site condition,Olivia Bennett
UPD00437,P058,2025-08-04,83.4,73.1,98230.63,2025-10-12,Material lead time,Olivia Bennett
UPD00438,P058,2025-09-01,95.3,81,64943.39,2025-10-15,Subcontractor availability,Olivia Bennett
UPD00439,P058,2025-09-29,100,91.9,38686.2,2025-10-18,None,Olivia Bennett
UPD00440,P058,2025-10-20,100,100,0,2025-10-20,Weather,Olivia Bennett
UPD00441,P059,2024-10-13,26.4,23.6,468397.39,2025-01-06,Labor availability,Olivia Bennett
UPD00442,P059,2024-11-10,52.8,46.9,343468.84,2025-01-09,Labor availability,Olivia Bennett
UPD00443,P059,2024-12-08,79.2,67.9,188958.6,2025-01-11,Labor availability,Olivia Bennett
UPD00444,P059,2025-01-05,100,93.5,44133.51,2025-01-14,Labor availability,Olivia Bennett
UPD00445,P059,2025-01-15,100,100,0,2025-01-15,Labor availability,Olivia Bennett
UPD00446,P060,2023-09-29,12.6,9.9,1214108.54,2024-04-20,Owner decision / change order,Daniel Kim
UPD00447,P060,2023-10-27,25.2,21.1,1049930.56,2024-04-22,Owner decision / change order,Daniel Kim
UPD00448,P060,2023-11-24,37.8,35.2,951322.53,2024-04-25,Unforeseen site condition,Daniel Kim
UPD00449,P060,2023-12-22,50.5,43.3,747701.96,2024-04-27,Unforeseen site condition,Daniel Kim
UPD00450,P060,2024-01-19,63.1,57.4,560266.8,2024-04-29,Owner decision / change order,Daniel Kim
UPD00451,P060,2024-02-16,75.7,66.1,386968.91,2024-05-02,Material lead time,Daniel Kim
UPD00452,P060,2024-03-15,88.3,79,280431.91,2024-05-04,Subcontractor availability,Daniel Kim
UPD00453,P060,2024-04-12,100,87.6,114125.16,2024-05-07,Material lead time,Daniel Kim
UPD00454,P060,2024-05-09,100,100,0,2024-05-09,Unforeseen site condition,Daniel Kim
UPD00455,P061,2024-12-16,15.1,14.6,2287948.05,2025-06-03,Inspection / approval delay,Olivia Bennett
UPD00456,P061,2025-01-13,30.3,27.4,2064864.76,2025-06-06,Inspection / approval delay,Olivia Bennett
UPD00457,P061,2025-02-10,45.4,39.9,1641464.88,2025-06-10,Inspection / approval delay,Olivia Bennett
UPD00458,P061,2025-03-10,60.5,49.2,1302929.59,2025-06-13,Inspection / approval delay,Olivia Bennett
UPD00459,P061,2025-04-07,75.7,62.7,876065.89,2025-06-16,Inspection / approval delay,Olivia Bennett
UPD00460,P061,2025-05-05,90.8,75.9,638456.65,2025-06-20,Inspection / approval delay,Olivia Bennett
UPD00461,P061,2025-06-02,100,90.2,239318.43,2025-06-23,Inspection / approval delay,Olivia Bennett
UPD00462,P061,2025-06-26,100,100,0,2025-06-26,Inspection / approval delay,Olivia Bennett
UPD00463,P062,2024-05-15,12.5,11,2373435.74,2024-12-07,Inspection / approval delay,Marcus Reed
UPD00464,P062,2024-06-12,25,19.5,2126662.23,2024-12-10,Inspection / approval delay,Marcus Reed
UPD00465,P062,2024-07-10,37.5,34.7,1764605.52,2024-12-12,Inspection / approval delay,Marcus Reed
UPD00466,P062,2024-08-07,50,41.8,1537442.85,2024-12-15,Inspection / approval delay,Marcus Reed
UPD00467,P062,2024-09-04,62.5,52.7,1268902.25,2024-12-18,Inspection / approval delay,Marcus Reed
UPD00468,P062,2024-10-02,75,63.6,1022377.68,2024-12-20,Inspection / approval delay,Marcus Reed
UPD00469,P062,2024-10-30,87.5,79.3,529238.99,2024-12-23,Inspection / approval delay,Marcus Reed
UPD00470,P062,2024-11-27,100,88,291563.64,2024-12-25,Inspection / approval delay,Marcus Reed
UPD00471,P062,2024-12-25,100,98.8,12244.35,2024-12-28,Inspection / approval delay,Marcus Reed
UPD00472,P062,2024-12-28,100,100,0,2024-12-28,Inspection / approval delay,Marcus Reed
UPD00473,P063,2025-05-27,30.4,26.2,913751.37,2025-08-05,Labor availability,Marcus Reed
UPD00474,P063,2025-06-24,60.9,51.3,593794.49,2025-08-08,Labor availability,Marcus Reed
UPD00475,P063,2025-07-22,91.3,78.8,290063.75,2025-08-11,Labor availability,Marcus Reed
UPD00476,P063,2025-08-13,100,100,0,2025-08-13,Labor availability,Marcus Reed
UPD00477,P064,2024-10-02,16.5,12.8,1188231.76,2025-03-06,Owner decision / change order,Priya Shah
UPD00478,P064,2024-10-30,32.9,27.3,1003871.66,2025-03-10,Weather,Priya Shah
UPD00479,P064,2024-11-27,49.4,38.8,846951.02,2025-03-14,Owner decision / change order,Priya Shah
UPD00480,P064,2024-12-25,65.9,51.8,630285.35,2025-03-17,Weather,Priya Shah
UPD00481,P064,2025-01-22,82.4,70,422058.14,2025-03-21,Unforeseen site condition,Priya Shah
UPD00482,P064,2025-02-19,98.8,80.7,203739.99,2025-03-25,Material lead time,Priya Shah
UPD00483,P064,2025-03-19,100,94.6,46007.45,2025-03-29,Material lead time,Priya Shah
UPD00484,P064,2025-03-30,100,100,0,2025-03-30,Material lead time,Priya Shah
UPD00485,P065,2025-03-12,21.1,19.3,552037.47,2025-06-28,Material lead time,Marcus Reed
UPD00486,P065,2025-04-09,42.1,40.2,435536.78,2025-06-29,Unforeseen site condition,Marcus Reed
UPD00487,P065,2025-05-07,63.2,60.5,326730.87,2025-06-30,Unforeseen site condition,Marcus Reed
UPD00488,P065,2025-06-04,84.2,81.8,176513.81,2025-07-01,Material lead time,Marcus Reed
UPD00489,P065,2025-07-02,100,100,0,2025-07-02,Unforeseen site condition,Marcus Reed
UPD00490,P066,2024-01-20,14.4,16.9,466093.38,2024-06-28,None,Elena Martinez
UPD00491,P066,2024-02-17,28.9,29.8,359583.96,2024-06-26,None,Elena Martinez
UPD00492,P066,2024-03-16,43.3,45.4,288836.46,2024-06-24,None,Elena Martinez
UPD00493,P066,2024-04-13,57.7,62.2,171144.88,2024-06-22,None,Elena Martinez
UPD00494,P066,2024-05-11,72.2,78.7,52630.42,2024-06-21,None,Elena Martinez
UPD00495,P066,2024-06-08,86.6,95.3,8657.66,2024-06-19,None,Elena Martinez
UPD00496,P066,2024-06-18,91.8,100,0,2024-06-18,None,Elena Martinez
UPD00497,P067,2023-05-19,24.3,24.6,467821.21,2023-08-18,Owner decision / change order,Elena Martinez
UPD00498,P067,2023-06-16,48.7,47,297986.19,2023-08-19,Subcontractor availability,Elena Martinez
UPD00499,P067,2023-07-14,73,69.4,164946.34,2023-08-21,None,Elena Martinez
UPD00500,P067,2023-08-11,97.4,92.2,53588.96,2023-08-22,Material lead time,Elena Martinez
UPD00501,P067,2023-08-23,100,100,0,2023-08-23,Material lead time,Elena Martinez
UPD00502,P068,2024-06-04,11.4,10.2,840312.69,2025-01-09,Labor availability,Priya Shah
UPD00503,P068,2024-07-02,22.9,21.7,722347.5,2025-01-10,Labor availability,Priya Shah
UPD00504,P068,2024-07-30,34.3,32.9,647481.48,2025-01-10,Labor availability,Priya Shah
UPD00505,P068,2024-08-27,45.7,43.2,521846.29,2025-01-11,Labor availability,Priya Shah
UPD00506,P068,2024-09-24,57.1,57.8,393497.71,2025-01-11,Labor availability,Priya Shah
UPD00507,P068,2024-10-22,68.6,65.7,294663.75,2025-01-12,Labor availability,Priya Shah
UPD00508,P068,2024-11-19,80,77.1,215043.37,2025-01-12,Labor availability,Priya Shah
UPD00509,P068,2024-12-17,91.4,89.2,122498.75,2025-01-13,Labor availability,Priya Shah
UPD00510,P068,2025-01-13,100,100,0,2025-01-13,Labor availability,Priya Shah
UPD00511,P069,2024-09-07,12.3,10.7,682222.6,2025-04-01,Subcontractor availability,Elena Martinez
UPD00512,P069,2024-10-05,24.7,24.6,549147.94,2025-04-03,Material lead time,Elena Martinez
UPD00513,P069,2024-11-02,37,32.2,480133.91,2025-04-05,Material lead time,Elena Martinez
UPD00514,P069,2024-11-30,49.3,47.1,370889.13,2025-04-06,None,Elena Martinez
UPD00515,P069,2024-12-28,61.7,57.2,287228.8,2025-04-08,Material lead time,Elena Martinez
UPD00516,P069,2025-01-25,74,66.5,203018.55,2025-04-10,Material lead time,Elena Martinez
UPD00517,P069,2025-02-22,86.3,77.6,133503.54,2025-04-12,Material lead time,Elena Martinez
UPD00518,P069,2025-03-22,98.7,89.9,73691.96,2025-04-13,None,Elena Martinez
UPD00519,P069,2025-04-15,100,100,0,2025-04-15,Material lead time,Elena Martinez
UPD00520,P070,2024-05-05,13.1,10,1195182.51,2024-11-11,Inspection / approval delay,Marcus Reed
UPD00521,P070,2024-06-02,26.3,23.8,1108315.75,2024-11-12,Inspection / approval delay,Marcus Reed
UPD00522,P070,2024-06-30,39.4,38.1,876983.59,2024-11-13,Inspection / approval delay,Marcus Reed
UPD00523,P070,2024-07-28,52.6,51.1,683444.65,2024-11-15,Inspection / approval delay,Marcus Reed
UPD00524,P070,2024-08-25,65.7,63,395206.34,2024-11-16,Inspection / approval delay,Marcus Reed
UPD00525,P070,2024-09-22,78.9,72.5,276695.85,2024-11-17,Inspection / approval delay,Marcus Reed
UPD00526,P070,2024-10-20,92,87.4,70522.71,2024-11-19,Inspection / approval delay,Marcus Reed
UPD00527,P070,2024-11-17,100,100,12950.08,2024-11-20,Inspection / approval delay,Marcus Reed
UPD00528,P070,2024-11-20,100,100,0,2024-11-20,Inspection / approval delay,Marcus Reed
UPD00529,P071,2023-09-12,25,17.4,626053.44,2023-12-23,Inspection / approval delay,Olivia Bennett
UPD00530,P071,2023-10-10,50,35.7,528207.47,2023-12-30,Inspection / approval delay,Olivia Bennett
UPD00531,P071,2023-11-07,75,51.7,391726.28,2024-01-05,Inspection / approval delay,Olivia Bennett
UPD00532,P071,2023-12-05,100,68.4,261464.05,2024-01-11,Inspection / approval delay,Olivia Bennett
UPD00533,P071,2024-01-02,100,86.3,153345.26,2024-01-18,Inspection / approval delay,Olivia Bennett
UPD00534,P071,2024-01-22,100,100,0,2024-01-22,Inspection / approval delay,Olivia Bennett
UPD00535,P072,2024-04-29,23.7,17.9,1003649.37,2024-08-14,Inspection / approval delay,Olivia Bennett
UPD00536,P072,2024-05-27,47.5,34,810546.27,2024-08-19,Inspection / approval delay,Olivia Bennett
UPD00537,P072,2024-06-24,71.2,52,605350.13,2024-08-25,Inspection / approval delay,Olivia Bennett
UPD00538,P072,2024-07-22,94.9,68.2,292164.27,2024-08-31,Inspection / approval delay,Olivia Bennett
UPD00539,P072,2024-08-19,100,86.9,112736.68,2024-09-06,Inspection / approval delay,Olivia Bennett
UPD00540,P072,2024-09-10,100,100,0,2024-09-10,Inspection / approval delay,Olivia Bennett
UPD00541,P073,2025-08-23,14.4,11.5,1705548.2,2026-02-21,Labor availability,Marcus Reed
UPD00542,P073,2025-09-20,28.7,21.5,1440806.44,2026-02-25,Labor availability,Marcus Reed
UPD00543,P073,2025-10-18,43.1,32.8,1208397.03,2026-03-01,Labor availability,Marcus Reed
UPD00544,P073,2025-11-15,57.4,49,1020480.85,2026-03-04,Labor availability,Marcus Reed
UPD00545,P073,2025-12-13,71.8,56.7,869657.75,2026-03-08,Labor availability,Marcus Reed
UPD00546,P073,2026-01-10,86.2,68.4,504609.57,2026-03-12,Labor availability,Marcus Reed
UPD00547,P073,2026-02-07,100,82.2,193472.23,2026-03-16,Labor availability,Marcus Reed
UPD00548,P073,2026-03-07,100,91.4,91115.62,2026-03-20,Labor availability,Marcus Reed
UPD00549,P073,2026-03-22,100,100,0,2026-03-22,Labor availability,Marcus Reed
UPD00550,P074,2024-07-13,23.5,19.4,1035688.09,2024-10-23,Material lead time,Olivia Bennett
UPD00551,P074,2024-08-10,47.1,36.3,741159.43,2024-10-27,Unforeseen site condition,Olivia Bennett
UPD00552,P074,2024-09-07,70.6,58.6,584227.3,2024-11-01,Weather,Olivia Bennett
UPD00553,P074,2024-10-05,94.1,77.1,323741.22,2024-11-05,Unforeseen site condition,Olivia Bennett
UPD00554,P074,2024-11-02,100,96.4,63915.31,2024-11-09,Subcontractor availability,Olivia Bennett
UPD00555,P074,2024-11-10,100,100,0,2024-11-10,Owner decision / change order,Olivia Bennett
UPD00556,P075,2024-09-03,12.2,10.7,1923199.93,2025-04-03,None,Priya Shah
UPD00557,P075,2024-10-01,24.3,20.6,1531011.98,2025-04-06,Owner decision / change order,Priya Shah
UPD00558,P075,2024-10-29,36.5,30.6,1361479.38,2025-04-08,Material lead time,Priya Shah
UPD00559,P075,2024-11-26,48.7,43.5,1140571.74,2025-04-11,Unforeseen site condition,Priya Shah
UPD00560,P075,2024-12-24,60.9,54.4,928585.4,2025-04-13,Material lead time,Priya Shah
UPD00561,P075,2025-01-21,73,66.1,678134.18,2025-04-16,Subcontractor availability,Priya Shah
UPD00562,P075,2025-02-18,85.2,77,463994.45,2025-04-18,Owner decision / change order,Priya Shah
